teamName,result,predict,sf
SOUTHHAMPTON,L,L,S
FULHAM,W,W,S
EVERTON,L,L,S
MANCHESTER CITY,W,W,S
BRENTFORD,W,W,S
WEST HAM,L,L,S
ARSENAL,L,W,F
BRIGHTON,W,W,S
LEICESTER,L,L,S
LIVERPOOL,W,W,S
TOTTENHAM,L,W,F
BRENTFORD,W,L,F
LEEDS,D,W,F
NEWCASTLE,D,W,F
CHELSEA,D,W,F
NOTTINGHAM FOREST,D,L,F
CRYSTAL PALACE,W,W,S
BOURNEMOUTH,L,L,S
MANCHESTER UTD,W,W,S
WOLVERHAMPTON,L,L,S
ASTON VILLA,W,W,S
TOTTENHAM,L,L,S
WEST HAM,W,W,S
LEEDS,L,W,F
BRIGHTON,W,W,S
SOUTHAMPTON,L,L,S
MANCHESTER CITY,W,W,S
CHELSEA,L,L,S
NEWCASTLE,D,D,S
LEICESTER,D,L,F
ARSENAL,W,W,S
WOLVERHAMPTON,L,L,S
LIVERPOOL,D,W,F
ASTON VILLA,D,W,F
FULHAM,D,W,F
CRYSTAL PALACE,D,W,F
WOLVERHAMPTON,D,D,S
EVERTON,D,W,F
BOURNEMOUTH,L,L,S
MANCHESTER UTD,W,W,S
NOTTINGHAM FOREST,W,L,F
ARSENAL,L,W,F
BRENTFORD,W,L,F
MANCHESTERCITY,L,W,F
ASTONVILLA,W,W,S
BRIGHTON,L,W,F
LEEDS,L,D,F
TOTTENHAM,W,W,S
EVERTON,W,W,S
BOURNEMOUTH,L,L,S
SOUTHAMPTON,D,W,F
LIVERPOOL,D,W,F
MANCHESTER UTD,W,W,S
FULHAM,L,W,F
LEICESTER,W,W,S
WEST HAM,L,L,S
CRYSTAL PALACE,D,W,F
NOTTINGHAM FOREST,D,D,S
CHELSEA,D,W,F
NEWCASTLE,D,W,F
