Match_date,teamName,homeAway,Ball Possession,Goal Attempts,Shots On,Shots Off,Blocked Shots,Free kick,Offsides,Throw Ins,Saves,Fouls Commited,Red Cards,Yellow Cards,Assists 1st Half,Assists 2nd Half,Ball Possession 1st Half,Ball Possession 2nd Half,Blockes Shots 1st Half,Blockes Shots 2nd Half,Corners,Corners 1st Half,Corners 2nd Half,Counter Attacks,Counter Attacks 1st Half,Counter Attacks 2nd Half,Crosses,Crosses 1st Half,Crosses 2nd Half,Fouls Commited 1st Half,Fouls Commited 2nd Half,Free kick 1st Half,Free kick 2nd Half,Goal Attempts 1st Half,Goal Attempts 2nd Half,Goal Kick,Goal Kick 1st Half,Goal Kick 2nd Half,Goals 1st Half,Goals 2nd Half,Offsides 1st Half,Offsides 2nd Half,Red Cards 1st Half,Red Cards 2nd Half,Saves 1st Half,Saves 2nd Half,Shots Off 1st Half,Shots Off 2nd Half,Shots On 1st Half,Shots On 2nd Half,Substitute,Substitute 1st Half,Substitute 2nd Half,Throw Ins 1st Half,Throw Ins 2nd Half,Treatment 1st Half,Treatment 2nd Half,Yellow Cards 1st Half,Yellow Cards 2nd Half,Result
Match date: 31-08-2022 / 21:30,MANCHESTER CITY,1,75,17,9,6,2,9,2,15,1,9,0,0,1,1,78,75,1,1,10,5,5,2,1,1,22,15,7,4,5,5,4,9,8,4,1,3,3,3,2,0,0,0,0,1,4,2,4,5,5,0,5,9,6,0,0,0,0,W
Match date: 31-08-2022 / 21:30,NOTTINGHAM FOREST,2,25,8,1,4,3,11,2,10,3,7,0,1,0,0,22,25,0,3,1,0,1,3,1,2,6,3,3,4,3,6,5,1,7,9,5,4,0,0,1,1,0,0,1,2,1,3,0,1,5,0,5,5,5,0,0,0,1,L
Match date: 31-08-2022 / 21:30,ARSENAL,1,60,22,8,5,9,15,1,15,2,10,0,2,0,1,67,60,7,2,10,7,3,4,1,3,16,12,4,2,8,7,8,15,7,5,1,4,1,1,1,0,0,0,1,1,2,3,6,2,4,0,4,12,3,0,1,1,1,W
Match date: 31-08-2022 / 21:30,ASTON VILLA,2,40,5,3,2,0,11,1,13,6,14,0,3,0,0,33,40,0,0,3,0,3,2,1,1,9,0,9,7,7,3,8,2,3,12,6,6,0,1,0,1,0,0,5,1,1,1,1,2,3,0,3,6,7,0,0,1,2,L
Match date: 31-08-2022 / 21:30,BOURNEMOUTH,1,34,5,2,2,1,15,0,21,3,12,0,2,0,0,38,34,0,1,2,0,2,1,1,0,8,2,6,7,5,9,6,1,4,12,5,7,0,0,0,0,0,0,2,1,1,1,0,2,3,0,3,11,10,0,3,0,2,D
Match date: 31-08-2022 / 21:30,WOLVERHAMPTON,2,66,17,3,9,5,12,3,16,2,12,0,1,0,0,62,66,1,4,5,2,3,2,2,0,25,9,16,7,5,7,5,6,11,1,0,1,0,0,2,1,0,0,0,2,3,6,2,1,3,0,3,9,7,6,0,0,1,D
Match date: 31-08-2022 / 21:45,WEST HAM,1,38,14,4,8,2,9,1,16,4,10,0,2,0,1,40,38,1,1,3,3,0,3,1,2,16,10,6,3,7,4,5,7,7,5,1,4,0,1,1,0,0,0,3,1,3,5,3,1,3,0,3,10,6,3,3,0,2,D
Match date: 31-08-2022 / 21:45,TOTTENHAM,2,62,12,4,2,6,11,0,19,3,9,0,5,0,0,60,62,3,3,4,0,4,6,5,1,21,7,14,4,5,4,7,6,6,10,6,4,1,0,0,0,0,0,3,0,0,2,3,1,1,0,1,8,11,3,4,2,3,D
Match date: 31-08-2022 / 22:00,LIVERPOOL,1,72,23,6,9,8,12,2,24,1,9,0,0,0,2,72,72,3,5,13,8,5,8,5,3,49,20,29,5,4,2,10,5,18,6,2,4,0,2,1,1,0,0,1,0,2,7,0,6,3,0,3,12,12,3,0,0,0,W
Match date: 31-08-2022 / 22:00,NEWCASTLE,2,28,5,2,3,0,11,2,12,4,10,0,2,1,0,28,28,0,0,0,0,0,5,2,3,12,6,6,2,8,6,5,4,1,9,2,7,1,0,0,2,0,0,0,4,2,1,2,0,3,0,3,7,5,1,1,0,2,L
