homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result,Shots_1st_Half
1,-0.04999999999999999,1.0,8.0,0.0,0.0,1.0,0.0,0,1.0
0,0.050000000000000044,2.0,5.0,1.0,0.0,2.0,1.0,1,3.0
1,-0.21000000000000002,3.0,5.0,1.0,0.0,1.0,1.0,0,2.0
0,0.20999999999999996,1.0,4.0,0.0,0.0,0.0,0.0,0,2.0
1,0.07999999999999996,6.0,7.0,2.0,0.0,5.0,1.0,1,7.0
0,-0.08000000000000002,1.0,3.0,1.0,0.0,1.0,0.0,0,3.0
1,0.14,7.0,6.0,0.0,0.0,5.0,0.0,1,10.0
0,-0.14,0.0,8.0,0.0,0.0,0.0,2.0,0,1.0
1,-0.14,2.0,9.0,1.0,0.0,2.0,2.0,1,3.0
0,0.14,4.0,10.0,0.0,0.0,2.0,2.0,0,6.0
1,-0.030000000000000027,3.0,5.0,1.0,0.0,3.0,1.0,1,4.0
0,0.030000000000000027,0.0,3.0,1.0,0.0,4.0,0.0,0,7.0
1,-0.15000000000000002,2.0,6.0,0.0,0.0,1.0,1.0,0,3.0
0,0.15000000000000002,13.0,6.0,1.0,0.0,5.0,0.0,1,6.0
1,0.12,0.0,4.0,0.0,0.0,2.0,2.0,0,4.0
0,-0.12,1.0,5.0,2.0,0.0,3.0,0.0,1,7.0
1,0.13,4.0,1.0,1.0,0.0,3.0,0.0,0,7.0
0,-0.13,2.0,2.0,0.0,0.0,1.0,0.0,0,1.0
1,-0.32,1.0,3.0,0.0,0.0,0.0,0.0,0,1.0
0,0.31999999999999995,1.0,3.0,1.0,0.0,1.0,1.0,1,3.0
1,0.12,2.0,5.0,1.0,0.0,1.0,1.0,1,2.0
0,-0.12,3.0,4.0,0.0,0.0,0.0,1.0,0,0.0
1,-0.030000000000000027,3.0,5.0,0.0,0.0,3.0,1.0,0,4.0
0,0.030000000000000027,0.0,3.0,0.0,0.0,1.0,1.0,0,2.0
1,0.050000000000000044,2.0,7.0,2.0,0.0,3.0,0.0,1,7.0
0,-0.04999999999999999,0.0,5.0,0.0,0.0,1.0,1.0,0,1.0
1,0.10999999999999999,4.0,4.0,0.0,0.0,1.0,2.0,0,5.0
0,-0.10999999999999999,1.0,5.0,0.0,0.0,0.0,1.0,0,3.0
1,-0.15999999999999998,1.0,5.0,0.0,0.0,0.0,0.0,0,4.0
0,0.16000000000000003,2.0,6.0,0.0,0.0,2.0,2.0,0,4.0
1,0.18000000000000005,7.0,3.0,3.0,0.0,5.0,0.0,1,9.0
0,-0.18,1.0,3.0,0.0,0.0,1.0,1.0,0,1.0
1,-0.18,3.0,4.0,4.0,0.0,4.0,0.0,1,6.0
0,0.18000000000000005,0.0,7.0,0.0,0.0,2.0,1.0,0,5.0
1,-0.030000000000000027,3.0,6.0,1.0,0.0,4.0,0.0,1,8.0
0,0.030000000000000027,2.0,7.0,0.0,0.0,2.0,1.0,0,6.0
1,0.18999999999999995,4.0,3.0,1.0,0.0,2.0,1.0,0,5.0
0,-0.19,0.0,6.0,0.0,0.0,1.0,0.0,0,1.0
1,0.25,3.0,3.0,0.0,0.0,3.0,1.0,0,9.0
0,-0.25,1.0,3.0,1.0,0.0,3.0,0.0,0,4.0
1,0.0,3.0,7.0,0.0,0.0,1.0,1.0,1,1.0
0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0,9.0
1,-0.030000000000000027,3.0,4.0,0.0,0.0,3.0,2.0,0,6.0
0,0.030000000000000027,1.0,5.0,0.0,0.0,3.0,2.0,0,4.0
1,0.06999999999999995,3.0,6.0,1.0,0.0,2.0,1.0,1,4.0
0,-0.07,1.0,8.0,1.0,0.0,2.0,1.0,0,2.0
1,-0.020000000000000018,3.0,4.0,2.0,0.0,5.0,2.0,1,6.0
0,0.020000000000000018,1.0,1.0,1.0,0.0,3.0,0.0,0,5.0
1,0.19999999999999996,2.0,5.0,0.0,0.0,0.0,0.0,0,2.0
0,-0.2,1.0,8.0,0.0,0.0,1.0,0.0,1,1.0
1,-0.24,0.0,8.0,0.0,0.0,0.0,1.0,0,0.0
0,0.24,4.0,4.0,2.0,0.0,3.0,0.0,1,4.0
